Author	Birth
"Elena Ferrante"	Italy
"Madeline Miller"	United States
"N.K. Jemisin"	United States
"Susanna Clarke"	United Kingdom
"David Sedaris"	United States
"Taylor Brorby"	United States
"Haruki Murakami"	Japan
"Emily St. John Mandel"	Canada
"Ray Bradbury"	United States
"Elif Batuman"	United States
"Neil Gaiman"	United Kingdom
"Jean Hanff Korelitz"	United Kingdom
"Isabel Allende"	Peru
"Douglas Stone"	United States
"Torrey Peters"	United States
"Salman Rushdie"	India
"Shirley Jackson"	United States
"Stephen King"	United States
"Paula Hawkins"	Zimbabwe
"Nnedi Okorafor"	United States
"Stephen Graham Jones"	United States
"Louise Erdrich"	United States
"Sapphire"	United States
"Patricia Lockwood"	United States
"J. Sheridan Le Fanu"	Ireland
"Gustave Flaubert"	France
"Mohsin Hamid"	Pakistan
"Garth Greenwell"	United States
"John Irving"	United States
"Colson Whitehead"	United States
"NoViolet Bulawayo"	Zimbabwe
"Augusten Burroughs"	United States
"Brian McNaught"	United States
"Yasunari Kawabata"	Japan
"Mario Vargas Llosa"	Peru
"Catherine Raven"	United States
"Chloe  Benjamin"	United States
"Oyinkan Braithwaite"	Nigeria
"Andrew Sean Greer"	United States
"Vince A. Liaguno"	United States
"André Gide"	France
"Cathy Woodman"	United Kingdom
"Camilla Sten"	Sweden
"Paula Lichtarowicz"	United Kingdom
"Marlon James"	Jamaica
"Alan Hollinghurst"	United Kingdom
"John Waters"	United States
"Sam Lipsyte"	United States
"Ursula K. Le Guin"	United States
"Sam Savage"	United States
"Poul Anderson"	United States
