Title,Date_Read
Firmin: Adventures of a Metropolitan Lowlife,2022-12-23
Lavinia,2022-12-22
"The Story of a New Name (The Neapolitan Novels, #2)",2022-05-22
"The Story of the Lost Child (The Neapolitan Novels, #4)",2022-06-10
The Song of Achilles,2022-07-04
"Those Who Leave and Those Who Stay (The Neapolitan Novels, #3)",2022-06-02
Piranesi,2022-06-13
Happy-Go-Lucky,2022-07-17
Boys and Oil: Growing Up Gay in a Fractured Land,2022-10-03
The Martian Chronicles,2022-07-18
Either/Or,2022-06-22
"The Broken Kingdoms (Inheritance, #2)",2022-04-26
Station Eleven,2022-10-05
The Latecomer,2022-09-13
The Ocean at the End of the Lane,2022-11-27
"My Brilliant Friend (The Neapolitan Novels, #1)",2022-04-21
"Detransition, Baby",2022-06-06
"The Kingdom of Gods (Inheritance, #3)",2022-05-09
Midnight's Children,2022-04-22
We Have Always Lived in the Castle,2022-11-18
The Dead Zone,2022-07-08
The Girl on the Train,2022-11-05
Mongrels,2022-12-01
"The Hundred Thousand Kingdoms (Inheritance, #1)",2022-04-23
Priestdaddy,2022-06-18
Carmilla,2022-10-30
How to Get Filthy Rich in Rising Asia,2022-11-26
Cleanness,2022-06-14
Harlem Shuffle,2022-05-27
Glory,2022-10-02
A Wolf at the Table,2022-07-19
The Green House,2022-07-26
The Story of a Marriage,2022-10-15
Other Terrors: An Inclusive Anthology,2022-10-29
"My Heart Is a Chainsaw (The Lake Witch Trilogy, #1)",2022-10-10
The Immoralist,2022-07-15
"City Girl, Country Vet (Talyton St George, #1)",2022-08-07
The Lost Village,2022-05-29
"Black Leopard, Red Wolf (The Dark Star Trilogy, #1)",2022-05-16
The Stranger's Child,2022-07-06
Liarmouth: A Feel-Bad Romance,2022-05-23
The Ask,2022-11-13
